REGIAO:;CO;;;;;;;
UF:;MS;;;;;;;
ESTACAO:;BONITO;;;;;;;
CODIGO (WMO):;S704;;;;;;;
LATITUDE:;-21,246756;;;;;;;
LONGITUDE:;-56,450442;;;;;;;
ALTITUDE:;329;;;;;;;
DATA DE FUNDACAO:;06/08/2018;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
29/03/2020;0400 UTC;9,2;975,8;22;98;107;8,6;4,3
29/03/2020;0500 UTC;0;975;22,2;98;76;7;4,2
29/03/2020;0600 UTC;0;974,6;22,7;97;61;6,7;4,6
29/03/2020;0700 UTC;0;974,7;22,4;97;42;6,7;2,5
29/03/2020;0800 UTC;0;975;22;98;11;4,2;1,3
29/03/2020;0900 UTC;0;975,2;22,1;98;54;4,1;2,2
29/03/2020;1000 UTC;0;975,9;22,2;98;2;3,7;1,2
29/03/2020;1100 UTC;0;976,5;23,2;98;339;4;2,5
29/03/2020;1200 UTC;0;976,9;24,2;96;21;4,6;2,8
29/03/2020;1300 UTC;0;977,4;26;94;22;5,7;2,7
29/03/2020;1400 UTC;0;977,4;27,5;87;51;6;3,4
29/03/2020;1500 UTC;0;977,1;28,5;83;54;6;2,9
29/03/2020;1600 UTC;0,2;976,2;29,7;78;30;7,1;2,4
29/03/2020;1700 UTC;0;975,3;30,5;73;34;5,8;2,4
29/03/2020;1800 UTC;0;974,2;31,3;69;342;5,9;2,5
29/03/2020;1900 UTC;0;973,6;29,7;67;329;6,5;2
29/03/2020;2000 UTC;0;973,1;30,8;73;273;3,9;1,4
29/03/2020;2100 UTC;0;973,5;29;75;330;2,9;1,9
29/03/2020;2200 UTC;0;974,3;27,1;87;95;2,9;1,6
29/03/2020;2300 UTC;0;974,9;27,1;89;31;2,4;1,2
30/03/2020;0000 UTC;0;975,9;26,2;92;359;2,1;1,1
30/03/2020;0100 UTC;0;976,9;26,1;91;50;3;1,8
30/03/2020;0200 UTC;0,4;977,6;25,2;95;132;3,2;1,8
30/03/2020;0300 UTC;0,6;976,9;24,9;96;20;2,9;1,1
30/03/2020;0400 UTC;0;976,5;24,4;98;40;1,8;0,6
30/03/2020;0500 UTC;0;975,8;23,6;98;87;1,8;0,4
30/03/2020;0600 UTC;0;975,7;23,2;98;31;1,9;0,3
30/03/2020;0700 UTC;0;975,2;23;99;160;1,4;0,6
30/03/2020;0800 UTC;0;975,2;23;99;49;0,9;0,2
30/03/2020;0900 UTC;0;975,6;22,4;99;201;1,1;0,7
30/03/2020;1000 UTC;0;976,2;22,5;99;65;1,6;0,7
30/03/2020;1100 UTC;0;977;23,9;99;193;1,4;0,7
30/03/2020;1200 UTC;0;977,5;26;92;320;2,1;1
30/03/2020;1300 UTC;0;977,5;28,3;84;23;3,6;1,9
30/03/2020;1400 UTC;0;977,3;30,2;76;34;4,5;2,1
30/03/2020;1500 UTC;0;976,6;32,6;71;49;5;2
30/03/2020;1600 UTC;0;975,6;31,6;64;102;4,7;2,3
30/03/2020;1700 UTC;0;974,6;33,2;63;110;6;2,6
30/03/2020;1800 UTC;0;973,4;33,5;62;270;7,7;4
30/03/2020;1900 UTC;0;972,6;31,6;59;36;7,7;1,7
30/03/2020;2000 UTC;0;972,2;32,4;60;136;4,5;1,9
30/03/2020;2100 UTC;0;972,2;31,2;62;231;4;1,8
30/03/2020;2200 UTC;0;973;28,3;76;260;3,1;1,4
30/03/2020;2300 UTC;0;973,6;26,7;83;132;3,8;1,6
31/03/2020;0000 UTC;0;974,3;25,7;86;104;2,7;1,7
31/03/2020;0100 UTC;0;975,1;26,2;86;81;2,8;1
31/03/2020;0200 UTC;0;975,3;25,9;86;62;3,5;2,2
31/03/2020;0300 UTC;0;975,2;25,8;85;61;3,8;2
31/03/2020;0400 UTC;0;975;25,2;86;44;4,5;2
31/03/2020;0500 UTC;0;974,4;24,6;89;347;4;0,5
31/03/2020;0600 UTC;0;974,3;23,4;94;286;1,7;0,6
31/03/2020;0700 UTC;0;973,7;23;96;258;1,1;0,3
31/03/2020;0800 UTC;0;974;22,6;97;196;1,1;0,6
31/03/2020;0900 UTC;0;974,4;22,1;98;107;1,7;1,2
31/03/2020;1000 UTC;0;975,2;22,1;98;106;2,1;1,7
31/03/2020;1100 UTC;0;976;24,5;98;75;3,4;2,3
31/03/2020;1200 UTC;0;976,5;27,3;89;10;3,2;1,3
31/03/2020;1300 UTC;0;976,4;29,6;76;36;5,8;3,5
31/03/2020;1400 UTC;0;976,2;31,6;66;39;6,5;3,8
31/03/2020;1500 UTC;0;975,6;32,7;57;40;6,2;2,8
31/03/2020;1600 UTC;0;974,9;33,2;56;27;5,9;2,4
31/03/2020;1700 UTC;0;973,7;33,7;51;32;6;2,5
31/03/2020;1800 UTC;0;972,8;34,1;51;51;6,6;3,3
31/03/2020;1900 UTC;0;972,5;33,7;50;74;6,6;3,7
31/03/2020;2000 UTC;0;972,3;33,1;48;103;5,7;3,8
31/03/2020;2100 UTC;0;972,3;31,6;52;96;5,7;3,2
31/03/2020;2200 UTC;0;972,5;28,5;65;44;4,1;1,2
31/03/2020;2300 UTC;0;973,1;26,8;75;283;1,6;0,6
01/04/2020;0000 UTC;0;973,5;25,3;84;182;1,9;0,4
01/04/2020;0100 UTC;0;974;24,6;89;113;1,8;0,8
01/04/2020;0200 UTC;0;974;24,1;89;301;2,3;1,6
01/04/2020;0300 UTC;0;974;23,4;88;324;2,4;2
01/04/2020;0400 UTC;0;973,7;22,8;92;337;2,8;1
01/04/2020;0500 UTC;0;973,3;22,7;93;294;2;1,2
01/04/2020;0600 UTC;0;972,8;21,7;95;271;2,3;0,4
01/04/2020;0700 UTC;0;972,8;20,9;95;193;3;1,7
01/04/2020;0800 UTC;0;973,1;20,8;96;230;2,8;2
01/04/2020;0900 UTC;0;973,5;20,9;96;331;2,5;0,9
01/04/2020;1000 UTC;0;974;20,6;95;342;2,3;0,4
01/04/2020;1100 UTC;0;975;23,5;95;206;1,4;0,6
01/04/2020;1200 UTC;0;975,5;26,3;88;51;2,2;1,3
01/04/2020;1300 UTC;0;975,9;30,4;76;71;5,1;3,1
01/04/2020;1400 UTC;0;975,7;31,8;59;39;6,7;4
01/04/2020;1500 UTC;0;975,1;33,2;52;55;8,3;4,5
01/04/2020;1600 UTC;0;974,2;33,7;49;33;7,9;3,7
01/04/2020;1700 UTC;0;973,5;34,1;46;14;7,2;3,3
01/04/2020;1800 UTC;0;972,9;34,7;48;70;7,3;4,4
01/04/2020;1900 UTC;0;972,5;34,4;43;70;7,5;3,7
01/04/2020;2000 UTC;0;972,4;33,7;43;93;6,3;3,6
01/04/2020;2100 UTC;0;972,4;32,1;48;74;5,5;2,3
01/04/2020;2200 UTC;0;972,5;27,9;65;73;3,4;2,2
01/04/2020;2300 UTC;0;972,8;26,4;74;78;2,8;1,2
02/04/2020;0000 UTC;0;973,3;25,7;74;63;2,5;0,9
02/04/2020;0100 UTC;0;973,8;25,8;74;309;1,9;1,5
02/04/2020;0200 UTC;0;973,8;24,7;80;330;2,3;1,1
02/04/2020;0300 UTC;0;973,9;23,2;85;245;1,8;0,5
02/04/2020;0400 UTC;0;974,2;23,2;85;270;1,7;0,8
02/04/2020;0500 UTC;0;974;22,4;92;277;1,6;0,7
02/04/2020;0600 UTC;0;974;21,9;91;272;1,8;1,1
02/04/2020;0700 UTC;0;973,8;22,1;90;294;1,7;1,6
02/04/2020;0800 UTC;0;974,1;21,8;88;309;2,1;1,5
02/04/2020;0900 UTC;0;974,2;21,7;89;334;2,5;2
02/04/2020;1000 UTC;0;975;20,6;93;230;2,5;0,9
02/04/2020;1100 UTC;0;976;23,5;93;157;1,9;1,1
02/04/2020;1200 UTC;0;976,5;27,7;85;305;2,4;0,6
02/04/2020;1300 UTC;0;976,7;31;67;310;2,7;0,9
02/04/2020;1400 UTC;0;976,4;33,6;54;37;3,7;1,8
02/04/2020;1500 UTC;0;975,9;34,9;49;13;3,8;1,8
02/04/2020;1600 UTC;0;975,2;35,6;45;332;4,8;1,8
02/04/2020;1700 UTC;0;974,5;35,2;42;240;6,9;3,8
02/04/2020;1800 UTC;0;973,4;36;37;230;7,6;4,8
02/04/2020;1900 UTC;0;972,9;35,4;38;261;8,4;3,9
02/04/2020;2000 UTC;0;973;33,3;46;232;7;4,2
02/04/2020;2100 UTC;0;973,4;32,3;51;212;6,4;3,5
02/04/2020;2200 UTC;0;973,5;28,9;63;185;5,8;1,7
02/04/2020;2300 UTC;0;974;27,3;71;232;2,3;1
03/04/2020;0000 UTC;0;975,1;27,2;72;203;10;5,4
03/04/2020;0100 UTC;0;975,3;25,6;75;213;7,7;3,3
03/04/2020;0200 UTC;0;975,4;24,8;80;214;5,1;3,2
03/04/2020;0300 UTC;0;975,3;24,1;85;224;4,8;3
03/04/2020;0400 UTC;0;975,4;23,8;87;212;5,9;3,7
03/04/2020;0500 UTC;0;975,3;23,8;88;197;9,6;5,7
03/04/2020;0600 UTC;0;974,7;23,5;86;185;9,5;4,2
03/04/2020;0700 UTC;0;974,2;23,7;87;196;7,5;4,6
03/04/2020;0800 UTC;0;974,9;21,9;90;206;10,6;6,1
03/04/2020;0900 UTC;0;975,4;21,4;90;198;11,3;5,4
03/04/2020;1000 UTC;0;976,3;21;89;201;9,8;6
03/04/2020;1100 UTC;0;977;21,1;84;201;10;6,3
03/04/2020;1200 UTC;0;977,4;22;80;193;10,6;6,4
03/04/2020;1300 UTC;0;977,8;22,2;76;204;10;6,4
03/04/2020;1400 UTC;0;977,7;24,6;76;203;9,4;5,6
03/04/2020;1500 UTC;0;977,3;26,4;64;191;10,7;4,8
03/04/2020;1600 UTC;0;976,5;27,5;55;205;9,6;5,2
03/04/2020;1700 UTC;0;975,6;27,7;44;185;10,6;5
03/04/2020;1800 UTC;0;974,5;28,2;37;178;9,8;5,3
03/04/2020;1900 UTC;0;973,9;28,1;35;185;9,7;4,7
03/04/2020;2000 UTC;0;973,7;27,1;35;191;8,6;4,9
03/04/2020;2100 UTC;0;973,4;25,5;36;182;7,9;4,3
03/04/2020;2200 UTC;0;973,4;21,9;52;198;6,5;2,9
03/04/2020;2300 UTC;0;973,6;20,5;57;197;4,5;3,3
04/04/2020;0000 UTC;0;973,9;19,6;58;203;4,8;3,1
04/04/2020;0100 UTC;0;974,3;18,4;66;207;4,3;3,1
04/04/2020;0200 UTC;0;974,3;17,6;69;219;4,3;2,9
04/04/2020;0300 UTC;0;974,2;17;71;216;3,9;3,2
04/04/2020;0400 UTC;0;974,2;16,2;76;232;4,2;3,2
04/04/2020;0500 UTC;0;973,6;15,7;77;232;4,1;3,2
04/04/2020;0600 UTC;0;973,4;15,6;77;228;4,2;2,8
04/04/2020;0700 UTC;0;973,1;15;81;195;3,4;1,1
04/04/2020;0800 UTC;0;973,6;14,8;79;228;2,7;0,8
04/04/2020;0900 UTC;0;974;14,8;83;205;2;0,8
04/04/2020;1000 UTC;0;974,5;14,7;84;293;1,6;0,9
04/04/2020;1100 UTC;0;975,2;18,3;82;281;1,6;0,8
04/04/2020;1200 UTC;0;975,8;21,9;67;92;2,6;1,1
04/04/2020;1300 UTC;0;976,1;23,3;50;5;4,4;1,8
04/04/2020;1400 UTC;0;975,8;25,6;45;344;4,4;2,4
04/04/2020;1500 UTC;0;974,9;27,7;42;21;5,2;2,2
04/04/2020;1600 UTC;0;973,8;29;39;43;5,1;2,8
04/04/2020;1700 UTC;0;972,7;30;38;27;5,4;2,3
04/04/2020;1800 UTC;0;971,9;31;39;51;6,8;3,3
04/04/2020;1900 UTC;0;971,4;31,6;38;47;7,6;3,2
04/04/2020;2000 UTC;0;971,3;30,4;40;92;7,6;4
04/04/2020;2100 UTC;0;971,4;28,4;47;85;5,8;3,4
04/04/2020;2200 UTC;0;971,6;24,5;62;106;4,5;2
04/04/2020;2300 UTC;0;972;23;69;91;3,3;2,1
05/04/2020;0000 UTC;0;972,8;23,5;73;344;2,6;1,1
05/04/2020;0100 UTC;0;973,2;22,8;77;311;2,1;0,9
05/04/2020;0200 UTC;0;973,5;22,1;79;328;2;1,5
05/04/2020;0300 UTC;0;973,9;20,6;82;330;2,7;1,6
05/04/2020;0400 UTC;0;973,9;20,4;84;331;3;1,6
05/04/2020;0500 UTC;0;973,5;19,6;90;182;1,9;0,7
05/04/2020;0600 UTC;0;973,2;19,3;93;185;1,1;0,8
05/04/2020;0700 UTC;0;972,7;19,2;92;56;1,7;0,8
05/04/2020;0800 UTC;0;972,8;19,8;91;50;1,8;0,4
05/04/2020;0900 UTC;0;973,1;18,7;94;352;1,4;0,2
05/04/2020;1000 UTC;0;973,5;19;95;23;0,7;0,5
05/04/2020;1100 UTC;0;974,3;21,9;93;332;1,6;0,9
05/04/2020;1200 UTC;0;974,9;25,3;82;34;4,2;2,9
05/04/2020;1300 UTC;0;975;27,8;70;23;5,6;2,9
05/04/2020;1400 UTC;0;974,8;30,5;65;22;7,6;3,9
05/04/2020;1500 UTC;0;974;31,8;60;28;8,1;4,9
05/04/2020;1600 UTC;0;972,9;33,9;55;9;8,8;3,3
05/04/2020;1700 UTC;0;972;34,2;49;359;10;5,2
05/04/2020;1800 UTC;0;971,4;34,3;44;5;10,8;5,5
05/04/2020;1900 UTC;0;970,9;34,3;43;348;9,5;5,2
05/04/2020;2000 UTC;0;970,5;33,6;45;352;10,5;5,1
05/04/2020;2100 UTC;0;970,4;32;48;6;8,8;3,3
05/04/2020;2200 UTC;0;971;29,3;57;359;5,8;2
05/04/2020;2300 UTC;0;971,8;28,4;64;356;2,8;2,1
06/04/2020;0000 UTC;0;972,7;27,9;64;351;3,6;2,3
06/04/2020;0100 UTC;0;973,3;27;71;20;3,6;2,1
06/04/2020;0200 UTC;0;973,4;25,8;75;11;3,1;1,3
06/04/2020;0300 UTC;0;973,8;26,2;75;6;2,4;1,6
06/04/2020;0400 UTC;0;973,7;25;79;31;2,5;1,6
06/04/2020;0500 UTC;0;973,9;25,1;79;354;2,9;1,6
06/04/2020;0600 UTC;0;974,1;22,6;91;205;2,9;1,1
06/04/2020;0700 UTC;0;973,9;22,5;92;76;2,3;0,5
06/04/2020;0800 UTC;0;974;22,3;93;233;1,7;0,4
06/04/2020;0900 UTC;0;974,6;22,6;94;122;2;0,6
06/04/2020;1000 UTC;0;975,1;22,9;93;71;1,9;1,6
06/04/2020;1100 UTC;0;975,7;25,3;92;34;2,7;1,2
06/04/2020;1200 UTC;0;976,3;26,8;80;8;3,8;2,3
06/04/2020;1300 UTC;0;976,4;29,2;76;11;5,2;1,9
06/04/2020;1400 UTC;0;975,9;33;69;339;6,3;3,7
06/04/2020;1500 UTC;0;975,2;33,3;62;312;8,3;5,4
06/04/2020;1600 UTC;0,6;975,3;27,7;83;357;12,6;5,9
06/04/2020;1700 UTC;1;974;29,1;94;347;18,9;3,1
06/04/2020;1800 UTC;0;972,9;30,6;79;7;8,1;3,9
06/04/2020;1900 UTC;0;971,4;31,2;72;2;8,7;4,6
06/04/2020;2000 UTC;0;971,1;31,3;67;360;8,1;4,3
06/04/2020;2100 UTC;0;971,6;28,1;74;1;9,6;5
06/04/2020;2200 UTC;1,6;973,3;23,8;90;264;12,5;7,7
06/04/2020;2300 UTC;2,2;972,1;23,6;94;345;11,3;3,3
07/04/2020;0000 UTC;0;973,3;23,9;95;270;5,8;2,2
07/04/2020;0100 UTC;19;976;23,2;97;194;19;5,4
07/04/2020;0200 UTC;18;976,9;20,2;98;134;18,3;13,4
07/04/2020;0300 UTC;14,2;978,1;20,1;98;135;18,3;5,1
07/04/2020;0400 UTC;6,4;977,9;19,9;97;121;9;5,5
07/04/2020;0500 UTC;5,8;977,8;19,7;97;101;7,6;2,3
07/04/2020;0600 UTC;7,4;976,5;19,6;97;40;6,8;4,8
07/04/2020;0700 UTC;0,6;975,5;19,4;98;24;9,5;4,8
07/04/2020;0800 UTC;0;977,2;19,6;97;97;8,6;2,7
07/04/2020;0900 UTC;0;977,4;19,4;97;100;4,7;1,2
07/04/2020;1000 UTC;0;978,2;19,5;97;270;2,3;1,3
07/04/2020;1100 UTC;0;979,1;20;97;234;3;2,2
07/04/2020;1200 UTC;0;979,5;21,5;96;191;5,5;3
07/04/2020;1300 UTC;0;979,9;22,7;93;160;7;4,5
07/04/2020;1400 UTC;0;979,8;23,5;87;148;7,1;4,2
07/04/2020;1500 UTC;0;979,4;25;79;159;6,4;4,3
07/04/2020;1600 UTC;0,2;978,9;26,9;76;147;6,3;2,2
07/04/2020;1700 UTC;0;978;26,7;69;158;6,7;2,7
07/04/2020;1800 UTC;0;977,3;27;70;181;6,5;3,8
07/04/2020;1900 UTC;0;976,5;26,8;69;166;7,3;4,8
07/04/2020;2000 UTC;0;976,8;26,8;70;185;8,8;4,9
07/04/2020;2100 UTC;0;976,6;24,6;73;181;7,6;3,4
07/04/2020;2200 UTC;0;976,7;23,2;76;185;5,9;3,8
07/04/2020;2300 UTC;0;977,4;22,2;76;187;6,6;3,8
08/04/2020;0000 UTC;0;978,5;21,2;78;173;6,2;3,7
08/04/2020;0100 UTC;0;978,9;20,7;80;177;5,9;4,3
08/04/2020;0200 UTC;0;979,2;20,1;80;177;7,1;3,8
08/04/2020;0300 UTC;0;978,8;18,9;84;181;5,1;2,9
08/04/2020;0400 UTC;0;978,5;18,6;84;181;5;3,9
08/04/2020;0500 UTC;0;978,2;17,7;88;197;5;1,1
08/04/2020;0600 UTC;0;977,8;17,4;88;169;4,9;3,3
08/04/2020;0700 UTC;0;977,2;16,3;87;194;5,1;3,4
08/04/2020;0800 UTC;0;977,4;15,4;95;250;4,3;1,2
08/04/2020;0900 UTC;0;977,7;15,1;96;240;3,8;3,1
08/04/2020;1000 UTC;0;978,6;14,8;94;228;4,3;3,1
08/04/2020;1100 UTC;0;979,4;16,5;93;216;6,3;4,1
08/04/2020;1200 UTC;0;979,9;18,6;87;216;7,6;5
08/04/2020;1300 UTC;0;979,8;21;80;206;7,7;4,3
08/04/2020;1400 UTC;0;979,7;23,7;69;203;7,7;3,9
08/04/2020;1500 UTC;0;979,2;25,6;60;162;5,7;2
08/04/2020;1600 UTC;0;978,4;27;55;190;6,1;2,8
08/04/2020;1700 UTC;0;977,3;27,7;52;188;7,3;4,2
08/04/2020;1800 UTC;0;976,7;27,7;45;194;7,5;4,3
08/04/2020;1900 UTC;0;976,3;27,4;42;185;7,8;4,3
08/04/2020;2000 UTC;0;976;26,5;45;183;7,2;4,6
08/04/2020;2100 UTC;0;976,1;24,5;53;197;7,6;4,7
08/04/2020;2200 UTC;0;976,1;21;68;206;6,3;3,4
08/04/2020;2300 UTC;0;976,4;19,9;74;206;5,2;3,7
09/04/2020;0000 UTC;0;977;18,3;78;208;5,2;3,4
09/04/2020;0100 UTC;0;977,6;17,5;78;223;4,4;2,1
09/04/2020;0200 UTC;0;977,7;16,2;83;229;4,3;2,8
09/04/2020;0300 UTC;0;977,4;16;83;223;3,8;3,1
09/04/2020;0400 UTC;0;977,2;15,5;84;224;4,1;3,1
09/04/2020;0500 UTC;0;977;14,8;88;224;4;2,7
09/04/2020;0600 UTC;0;976,9;14,6;87;204;5,5;1,8
09/04/2020;0700 UTC;0;976,5;13,9;88;254;4,3;2,4
09/04/2020;0800 UTC;0;976,5;13,5;89;238;3,4;2,7
09/04/2020;0900 UTC;0;976,9;13,8;88;224;4,1;3,2
09/04/2020;1000 UTC;0;977,6;13,2;86;214;4,8;3,6
09/04/2020;1100 UTC;0;978,2;15,3;86;215;5,3;3,5
09/04/2020;1200 UTC;0;978,6;17,7;78;198;7,5;5,1
09/04/2020;1300 UTC;0;978,7;20,9;68;207;7,2;3,7
09/04/2020;1400 UTC;0;978,5;23,7;58;182;6,1;3,4
09/04/2020;1500 UTC;0;978,1;26;50;182;5,7;2,4
09/04/2020;1600 UTC;0;977,2;27,5;39;188;4,8;1,9
09/04/2020;1700 UTC;0;976,2;28,3;40;169;6;3,2
09/04/2020;1800 UTC;0;975,4;29,2;40;184;8,3;3,3
09/04/2020;1900 UTC;0;975,1;29,2;37;172;8,3;3
09/04/2020;2000 UTC;0;974,9;28,1;32;166;6,7;3,4
09/04/2020;2100 UTC;0;974,9;25;42;155;5,6;3
09/04/2020;2200 UTC;0;974,9;21;60;189;4,7;3,4
09/04/2020;2300 UTC;0;975,6;19,8;60;184;4,9;3,9
10/04/2020;0000 UTC;0;976,2;17,8;68;207;4,8;3,1
10/04/2020;0100 UTC;0;976,6;16,8;74;220;4,4;3,5
10/04/2020;0200 UTC;0;976,9;16,6;75;208;4,5;3,4
10/04/2020;0300 UTC;0;976,9;15,8;77;219;4,7;3,2
10/04/2020;0400 UTC;0;976,5;15,3;79;217;4,6;3
10/04/2020;0500 UTC;0;976;14,4;83;231;4,1;3,3
10/04/2020;0600 UTC;0;975,7;14,4;83;232;4,5;3,6
10/04/2020;0700 UTC;0;975,8;14,2;80;223;4,3;2,7
10/04/2020;0800 UTC;0;976,2;13,6;83;220;4,1;2,9
10/04/2020;0900 UTC;0;976,7;13,4;84;219;4,3;3,3
10/04/2020;1000 UTC;0;977,3;12,9;87;237;4;2,7
10/04/2020;1100 UTC;0;977,5;16,4;85;214;4,7;3,2
10/04/2020;1200 UTC;0;978,3;19,1;75;196;5,5;3,4
10/04/2020;1300 UTC;0;978,4;22;64;184;4,8;2,6
10/04/2020;1400 UTC;0;978,3;25,4;56;187;4,3;2,1
10/04/2020;1500 UTC;0;977,8;26,5;44;157;5,2;2,9
10/04/2020;1600 UTC;0;976,6;28,5;36;151;6,2;2,7
10/04/2020;1700 UTC;0;975,6;28,9;36;173;6,1;3,1
10/04/2020;1800 UTC;0;974,7;29,6;33;171;5,7;2,7
10/04/2020;1900 UTC;0;974,3;29,5;28;154;5,3;2,7
10/04/2020;2000 UTC;0;974;27,8;29;166;5,7;3,7
10/04/2020;2100 UTC;0;974,1;24,6;41;167;6,4;3,1
10/04/2020;2200 UTC;0;974,1;20,9;57;187;4,4;3,6
10/04/2020;2300 UTC;0;974,5;19,1;64;187;4,8;3,4
11/04/2020;0000 UTC;0;975,3;18,1;67;199;5;3,3
11/04/2020;0100 UTC;0;975,8;17,1;70;219;4,1;3,2
11/04/2020;0200 UTC;0;975,8;16;75;229;4,5;2,9
11/04/2020;0300 UTC;0;975,6;15,4;78;225;3,8;2,6
11/04/2020;0400 UTC;0;975,2;14,8;79;234;3,7;3,2
11/04/2020;0500 UTC;0;974,9;14,5;82;234;3,9;3,2
11/04/2020;0600 UTC;0;974,8;14,3;82;238;3,6;3,1
11/04/2020;0700 UTC;0;974,7;14,1;82;242;3,4;2,6
11/04/2020;0800 UTC;0;974,9;14,5;83;247;3,6;1,7
11/04/2020;0900 UTC;0;975,3;14,9;82;288;2,5;0,8
11/04/2020;1000 UTC;0;976;14,2;84;245;1,7;0,8
11/04/2020;1100 UTC;0;976,4;16,9;82;251;2;1
11/04/2020;1200 UTC;0;976,9;21,1;80;217;2,7;1,7
11/04/2020;1300 UTC;0;977,1;23,4;61;166;3,1;1,3
11/04/2020;1400 UTC;0;977;25,6;50;126;4,2;2
11/04/2020;1500 UTC;0;976,5;27,5;42;156;4,5;1,5
11/04/2020;1600 UTC;0;975,9;29,4;40;210;5;1,3
11/04/2020;1700 UTC;0;974,9;30,4;36;197;4,7;2,1
11/04/2020;1800 UTC;0;974,3;30,3;36;122;5,4;2,4
11/04/2020;1900 UTC;0;973,8;30,1;37;109;6,3;2,8
11/04/2020;2000 UTC;0;973,7;28,7;37;132;6,3;3,7
11/04/2020;2100 UTC;0;973,7;26,7;44;138;5,6;3
11/04/2020;2200 UTC;0;974,1;23;56;152;4,1;2,2
11/04/2020;2300 UTC;0;974,4;21,2;67;209;2,9;1,6
12/04/2020;0000 UTC;0;975,1;19,9;73;242;2,4;2,2
12/04/2020;0100 UTC;0;975,5;18,9;74;237;3,1;2,8
12/04/2020;0200 UTC;0;975,6;18,4;78;245;3,1;2,5
12/04/2020;0300 UTC;0;975,4;17,1;80;236;4;2,3
12/04/2020;0400 UTC;0;975,1;17,3;80;233;3,2;1,7
12/04/2020;0500 UTC;0;974,9;18;79;228;3,2;1,5
12/04/2020;0600 UTC;0;975;18,5;82;270;2,8;0,9
12/04/2020;0700 UTC;0;974,7;18,2;81;171;2,2;0,6
12/04/2020;0800 UTC;0;975;17,4;87;294;1,9;1,3
12/04/2020;0900 UTC;0;975,7;17,8;87;235;1,8;1,2
12/04/2020;1000 UTC;0;976,4;18,4;87;310;1,8;1,4
12/04/2020;1100 UTC;0;977,1;18,8;83;317;2,3;1,6
12/04/2020;1200 UTC;0;977,5;21,7;81;294;2,7;1,1
12/04/2020;1300 UTC;0;977,9;25,6;73;90;2,1;0,8
12/04/2020;1400 UTC;0;977,7;28,2;52;17;5,2;3
12/04/2020;1500 UTC;0;977;30,5;49;27;7;3,7
12/04/2020;1600 UTC;0;975,9;30,5;43;12;7;3
12/04/2020;1700 UTC;0;975,1;31;42;359;6,5;2,9
12/04/2020;1800 UTC;0;974,2;31,6;41;23;5,5;1,7
12/04/2020;1900 UTC;0;973,5;31,3;42;23;5,1;2,4
12/04/2020;2000 UTC;0;973,2;29,8;46;70;5,3;3
12/04/2020;2100 UTC;0;973,3;28,4;51;84;4,3;2,4
12/04/2020;2200 UTC;0;973,2;24,5;65;87;3,2;1,8
12/04/2020;2300 UTC;0;973,4;22,5;75;82;2,1;1,8
13/04/2020;0000 UTC;0;973,8;22,6;75;54;2,5;1,9
13/04/2020;0100 UTC;0;974;22,1;79;308;2,5;1,5
13/04/2020;0200 UTC;0;974;21,7;85;327;2,4;1,8
13/04/2020;0300 UTC;0;973,8;20,8;85;331;2,8;1,7
13/04/2020;0400 UTC;0;973,7;21,2;86;1;2,6;1,7
13/04/2020;0500 UTC;0;973,3;20;88;64;3;1,8
13/04/2020;0600 UTC;0;973,2;19,6;90;315;3,8;0,7
13/04/2020;0700 UTC;0;973,2;19,2;93;333;1,7;0,7
13/04/2020;0800 UTC;0;973,4;18,4;94;259;1,6;0,2
13/04/2020;0900 UTC;0;973,7;18,2;95;25;0,6;0,2
13/04/2020;1000 UTC;0;974,2;18,2;96;78;0,6;0,5
13/04/2020;1100 UTC;0;974,8;21,3;94;317;1,5;0,9
13/04/2020;1200 UTC;0;975,2;24,4;86;11;3,4;1,9
13/04/2020;1300 UTC;0;975,4;28,1;73;37;4,4;2,3
13/04/2020;1400 UTC;0;975,2;29,7;62;24;6,1;3,4
13/04/2020;1500 UTC;0;974,4;30,8;57;32;6,6;3,8
13/04/2020;1600 UTC;0;973,5;32,2;55;10;9,3;3,2
13/04/2020;1700 UTC;0;972,7;33;50;358;8,5;4,4
13/04/2020;1800 UTC;0;971,9;32,8;47;349;7,8;4,6
13/04/2020;1900 UTC;0;971;32;51;27;7,7;3,3
13/04/2020;2000 UTC;0;970,4;31;53;26;7,6;4,2
13/04/2020;2100 UTC;0;970,1;29,3;60;18;6,6;2
13/04/2020;2200 UTC;0;970,5;27,8;65;357;4;1,5
13/04/2020;2300 UTC;0;970;26,1;77;114;3,3;0,9
14/04/2020;0000 UTC;5,2;972;23,2;94;271;13,6;5,8
14/04/2020;0100 UTC;1,2;973,9;21,1;94;296;18,3;7,1
14/04/2020;0200 UTC;12;972,9;19,9;98;338;20;1,6
14/04/2020;0300 UTC;6;973,3;20;97;200;8,9;4,2
14/04/2020;0400 UTC;3,6;973,1;20;97;134;6,4;2,2
14/04/2020;0500 UTC;0;972,8;20,3;98;271;3,5;1,5
